Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber,GameType(Optional)
genesis 5,hbox,plup,JigglyPuff_Green,NA,Fox_Green,NA,Fountain of Dreams,P1:JigglyPuff_Green,1,GF2
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
0,0,NA,0,NA,4,NA,4,NA,NA
1,0,NA,0,NA,4,NA,4,NA,NA
2,0,NA,0,NA,4,NA,4,NA,NA
3,0,NA,0,NA,4,NA,4,NA,NA
4,0,NA,0,NA,4,NA,4,NA,NA
5,0,NA,0,NA,4,NA,4,NA,NA
6,0,NA,0,NA,4,NA,4,NA,NA
7,0,NA,0,NA,4,NA,4,NA,NA
8,0,NA,0,NA,4,NA,4,NA,NA
9,0,NA,0,NA,4,NA,4,NA,NA
10,0,NA,0,NA,4,NA,4,NA,NA
11,0,NA,0,NA,4,NA,4,NA,NA
12,0,NA,0,NA,4,NA,4,NA,NA
13,0,NA,0,NA,4,NA,4,NA,NA
14,0,NA,0,NA,4,NA,4,NA,NA
15,0,NA,0,NA,4,NA,4,NA,NA
16,0,NA,0,NA,4,NA,4,NA,NA
17,0,NA,0,NA,4,NA,4,NA,NA
18,0,NA,0,NA,4,NA,4,NA,NA
19,0,NA,0,NA,4,NA,4,NA,NA
20,0,NA,0,NA,4,NA,4,NA,NA
21,0,NA,0,NA,4,NA,4,NA,NA
22,0,NA,0,NA,4,NA,4,NA,NA
23,0,NA,0,NA,4,NA,4,NA,NA
24,0,NA,0,NA,4,NA,4,NA,NA
25,0,NA,0,NA,4,NA,4,NA,NA
26,0,NA,0,NA,4,NA,4,NA,NA
27,0,NA,0,NA,4,NA,4,NA,NA
28,0,NA,0,NA,4,NA,4,NA,NA
29,0,NA,0,NA,4,NA,4,NA,NA
30,0,NA,0,NA,4,NA,4,NA,NA
31,0,NA,0,NA,4,NA,4,NA,NA
32,0,NA,0,NA,4,NA,4,NA,NA
33,0,NA,0,NA,4,NA,4,NA,NA
34,0,NA,0,NA,4,NA,4,NA,NA
35,0,NA,0,NA,4,NA,4,NA,NA
36,0,NA,0,NA,4,NA,4,NA,NA
37,0,NA,0,NA,4,NA,4,NA,NA
38,0,NA,0,NA,4,NA,4,NA,NA
39,0,NA,0,NA,4,NA,4,NA,NA
40,0,NA,0,NA,4,NA,4,NA,NA
41,0,NA,0,NA,4,NA,4,NA,NA
42,0,NA,0,NA,4,NA,4,NA,NA
43,0,NA,0,NA,4,NA,4,NA,NA
44,0,NA,0,NA,4,NA,4,NA,NA
45,0,NA,0,NA,4,NA,4,NA,NA
46,0,NA,0,NA,4,NA,4,NA,NA
47,0,NA,0,NA,4,NA,4,NA,NA
48,0,NA,0,NA,4,NA,4,NA,NA
49,0,NA,0,NA,4,NA,4,NA,NA
50,0,NA,0,NA,4,NA,4,NA,NA
51,0,NA,0,NA,4,NA,4,NA,NA
52,0,NA,0,NA,4,NA,4,NA,NA
53,0,NA,0,NA,4,NA,4,NA,NA
54,0,NA,0,NA,4,NA,4,NA,NA
55,0,NA,0,NA,4,NA,4,NA,NA
56,0,NA,0,NA,4,NA,4,NA,NA
57,0,NA,0,NA,4,NA,4,NA,NA
58,0,NA,0,NA,4,NA,4,NA,NA
59,0,NA,0,NA,4,NA,4,NA,NA
60,0,NA,0,NA,4,NA,4,NA,NA
61,0,NA,0,NA,4,NA,4,NA,NA
62,0,NA,0,NA,4,NA,4,NA,NA
63,0,NA,0,NA,4,NA,4,NA,NA
64,0,NA,0,NA,4,NA,4,NA,NA
65,0,NA,0,NA,4,NA,4,NA,NA
66,0,NA,0,NA,4,NA,4,NA,NA
67,0,NA,0,NA,4,NA,4,NA,NA
68,0,NA,0,NA,4,NA,4,NA,NA
69,0,NA,0,NA,4,NA,4,NA,NA
70,0,NA,0,NA,4,NA,4,NA,NA
71,0,NA,0,NA,4,NA,4,NA,NA
72,0,NA,0,NA,4,NA,4,NA,NA
73,0,NA,0,NA,4,NA,4,NA,NA
74,0,NA,0,NA,4,NA,4,NA,NA
75,0,NA,0,NA,4,NA,4,NA,NA
76,0,NA,0,NA,4,NA,4,NA,NA
77,0,NA,0,NA,4,NA,4,NA,NA
78,0,NA,0,NA,4,NA,4,NA,NA
79,0,NA,0,NA,4,NA,4,NA,NA
80,0,NA,0,NA,4,NA,4,NA,NA
81,0,NA,0,NA,4,NA,4,NA,NA
82,0,NA,0,NA,4,NA,4,NA,NA
83,0,NA,0,NA,4,NA,4,NA,NA
84,0,NA,0,NA,4,NA,4,NA,NA
85,0,NA,0,NA,4,NA,4,NA,NA
86,0,NA,0,NA,4,NA,4,NA,NA
87,0,NA,0,NA,4,NA,4,NA,NA
88,0,NA,0,NA,4,NA,4,NA,NA
89,0,NA,0,NA,4,NA,4,NA,NA
90,0,NA,0,NA,4,NA,4,NA,NA
91,0,NA,0,NA,4,NA,4,NA,NA
92,0,NA,0,NA,4,NA,4,NA,NA
93,0,NA,0,NA,4,NA,4,NA,NA
94,0,NA,0,NA,4,NA,4,NA,NA
95,0,NA,0,NA,4,NA,4,NA,NA
96,0,NA,0,NA,4,NA,4,NA,NA
97,0,NA,0,NA,4,NA,4,NA,NA
98,0,NA,0,NA,4,NA,4,NA,NA
99,0,NA,0,NA,4,NA,4,NA,NA
100,0,NA,0,NA,4,NA,4,NA,NA
