Tournament,LeftPlayerName,RightPlayerName,Player1Char,Player2Char,Player3Char,Player4Char,Level,Winner,GameNumber,GameType(Optional)
genesis 5,hbox,plup,JigglyPuff_Green,NA,Fox_Green,NA,Yoshi’s Story,P1:JigglyPuff_Green,3,GF1
Frame,P1Dmg,P2Dmg,P3Dmg,P4Dmg,P1Stocks,P2Stocks,P3Stocks,P4Stocks,Time
0,3,NA,0,NA,4,NA,4,NA,NA
1,3,NA,0,NA,4,NA,4,NA,NA
2,3,NA,0,NA,4,NA,4,NA,NA
3,3,NA,0,NA,4,NA,4,NA,NA
4,3,NA,0,NA,4,NA,4,NA,NA
5,3,NA,0,NA,4,NA,4,NA,NA
6,3,NA,0,NA,4,NA,4,NA,NA
7,3,NA,0,NA,4,NA,4,NA,NA
8,3,NA,0,NA,4,NA,4,NA,NA
9,3,NA,0,NA,4,NA,4,NA,NA
10,3,NA,0,NA,4,NA,4,NA,NA
11,3,NA,0,NA,4,NA,4,NA,NA
12,3,NA,0,NA,4,NA,4,NA,NA
13,3,NA,0,NA,4,NA,4,NA,NA
14,3,NA,0,NA,4,NA,4,NA,NA
15,3,NA,0,NA,4,NA,4,NA,NA
16,3,NA,0,NA,4,NA,4,NA,NA
17,3,NA,0,NA,4,NA,4,NA,NA
18,3,NA,0,NA,4,NA,4,NA,NA
19,3,NA,0,NA,4,NA,4,NA,NA
20,3,NA,0,NA,4,NA,4,NA,NA
21,3,NA,0,NA,4,NA,4,NA,NA
22,3,NA,0,NA,4,NA,4,NA,NA
23,3,NA,0,NA,4,NA,4,NA,NA
24,3,NA,0,NA,4,NA,4,NA,NA
25,3,NA,0,NA,4,NA,4,NA,NA
26,3,NA,0,NA,4,NA,4,NA,NA
27,3,NA,0,NA,4,NA,4,NA,NA
28,3,NA,0,NA,4,NA,4,NA,NA
29,3,NA,0,NA,4,NA,4,NA,NA
30,3,NA,0,NA,4,NA,4,NA,NA
31,3,NA,0,NA,4,NA,4,NA,NA
32,3,NA,0,NA,4,NA,4,NA,NA
33,3,NA,0,NA,4,NA,4,NA,NA
34,3,NA,0,NA,4,NA,4,NA,NA
35,3,NA,0,NA,4,NA,4,NA,NA
36,3,NA,0,NA,4,NA,4,NA,NA
37,3,NA,0,NA,4,NA,4,NA,NA
38,3,NA,12,NA,4,NA,4,NA,NA
39,3,NA,12,NA,4,NA,4,NA,NA
40,3,NA,12,NA,4,NA,4,NA,NA
41,3,NA,12,NA,4,NA,4,NA,NA
42,3,NA,12,NA,4,NA,4,NA,NA
43,3,NA,12,NA,4,NA,4,NA,NA
44,3,NA,12,NA,4,NA,4,NA,NA
45,3,NA,12,NA,4,NA,4,NA,NA
46,3,NA,12,NA,4,NA,4,NA,NA
47,3,NA,12,NA,4,NA,4,NA,NA
48,3,NA,12,NA,4,NA,4,NA,NA
49,3,NA,12,NA,4,NA,4,NA,NA
50,3,NA,12,NA,4,NA,4,NA,NA
51,3,NA,12,NA,4,NA,4,NA,NA
52,3,NA,12,NA,4,NA,4,NA,NA
53,3,NA,12,NA,4,NA,4,NA,NA
54,3,NA,12,NA,4,NA,4,NA,NA
55,3,NA,12,NA,4,NA,4,NA,NA
56,3,NA,12,NA,4,NA,4,NA,NA
57,3,NA,12,NA,4,NA,4,NA,NA
58,3,NA,12,NA,4,NA,4,NA,NA
59,3,NA,12,NA,4,NA,4,NA,NA
60,3,NA,12,NA,4,NA,4,NA,NA
61,3,NA,12,NA,4,NA,4,NA,NA
62,3,NA,12,NA,4,NA,4,NA,NA
63,3,NA,12,NA,4,NA,4,NA,NA
64,3,NA,12,NA,4,NA,4,NA,NA
65,3,NA,12,NA,4,NA,4,NA,NA
66,3,NA,12,NA,4,NA,4,NA,NA
67,3,NA,12,NA,4,NA,4,NA,NA
